,Company,TypeName,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,CPU_,SSD,HDD
635,Asus,Notebook,8,Nvidia,Windows,1.99,48304.7136,0,0,141.21199808219862,Intel Core i5,0,1000
636,Dell,Ultrabook,8,Intel,Windows,1.23,99580.32,1,0,276.053530085501,Intel Core i5,256,0
637,Lenovo,Notebook,2,Intel,Windows,1.42,13266.72,0,0,111.93520355955211,Intel Processor,0,0
638,Lenovo,2 in 1 Convertible,8,Intel,Windows,1.37,93635.3376,1,1,165.6321180513006,Intel Core i7,256,0
639,Dell,Notebook,16,Nvidia,Windows,2.06,127818.72,1,0,282.42399616439724,Intel Core i7,1000,0
640,Lenovo,Gaming,8,Nvidia,Windows,2.5,59087.52,0,1,141.21199808219862,Intel Core i7,128,1000
641,HP,Notebook,8,AMD,Windows,2.6,27753.552,0,0,107.98564559226952,AMD processor,0,1000
642,Lenovo,Ultrabook,16,Intel,Windows,1.14,130536.0,0,1,157.3505121487356,Intel Core i7,512,0
643,Asus,Gaming,8,Nvidia,No,2.5,62284.32,0,1,141.21199808219862,Intel Core i7,0,1000
644,Acer,Notebook,4,Intel,Windows,2.4,23976.0,0,0,100.45466986113651,Intel Core i3,0,500
645,Lenovo,Notebook,4,Intel,Windows,1.43,14598.72,0,0,111.93520355955211,Intel Processor,0,0
646,Acer,Ultrabook,8,Intel,Windows,1.8,48964.32,0,1,157.3505121487356,Intel Core i5,256,0
647,Razer,Gaming,16,Nvidia,Windows,1.95,138474.72,0,0,157.3505121487356,Intel Core i7,256,0
648,Toshiba,Notebook,8,Intel,Windows,1.2,64628.64,0,0,165.6321180513006,Intel Core i5,256,0
649,Lenovo,Ultrabook,8,Intel,Windows,1.36,84395.52,0,1,176.23257360658386,Intel Core i7,256,0
650,Asus,Gaming,32,Nvidia,Windows,3.8,149130.72,0,1,127.33567457123111,Intel Core i7,512,0
651,Acer,Gaming,8,Nvidia,Linux,2.4,37775.52,0,0,141.21199808219862,Intel Core i5,0,1000
652,Dell,Ultrabook,8,Intel,Windows,1.2,77250.672,0,0,165.6321180513006,Intel Core i5,256,0
653,MSI,Gaming,8,Nvidia,Windows,2.2,63499.10399999999,0,0,141.21199808219862,Intel Core i7,128,1000
654,HP,Notebook,4,Intel,No,1.86,19441.872,0,0,100.45466986113651,Intel Core i3,0,500
655,Toshiba,Notebook,8,Intel,Windows,2.0,56689.92,0,1,141.21199808219862,Intel Core i5,0,500
656,Dell,Notebook,8,AMD,Windows,2.2,48964.32,0,0,141.21199808219862,Intel Core i7,256,0
657,Dell,Notebook,16,AMD,Windows,2.2,60472.8,0,0,141.21199808219862,Intel Core i7,256,2000
658,Lenovo,Gaming,8,Nvidia,Windows,3.31,63722.88,0,1,141.21199808219862,Intel Core i7,128,1000
659,Dell,Gaming,32,Nvidia,Windows,4.42,167691.8736,0,1,254.67134914246222,Intel Core i7,512,1000
660,Dell,Notebook,8,Intel,Windows,1.56,65481.12,0,0,157.3505121487356,Intel Core i5,256,0
661,Lenovo,Notebook,4,Intel,Windows,2.2,22324.32,0,0,100.45466986113651,Intel Processor,0,500
662,Lenovo,Notebook,4,Intel,Windows,2.2,28504.8,0,0,141.21199808219862,Intel Core i5,0,500
663,HP,Notebook,6,AMD,Windows,2.04,28717.92,0,0,141.21199808219862,Intel Core i3,0,1000
664,MSI,Gaming,8,Nvidia,Windows,2.7,79215.1056,0,0,127.33567457123111,Intel Core i7,128,1000
665,Toshiba,Notebook,4,Intel,Windows,2.1,26533.44,0,0,100.45466986113651,Intel Core i3,128,0
666,Dell,Notebook,8,Intel,Windows,2.06,50882.4,0,0,141.21199808219862,Intel Core i5,0,1000
667,HP,Notebook,8,AMD,Windows,2.1,39693.6,0,0,141.21199808219862,Intel Core i7,0,1000
668,Toshiba,Notebook,8,Intel,Windows,2.0,67026.23999999999,0,1,141.21199808219862,Intel Core i5,256,0
669,Acer,Notebook,4,Intel,Linux,2.1,21951.36,0,0,100.45466986113651,Intel Core i3,128,0
670,Microsoft,Ultrabook,8,Intel,Windows,1.252,99519.048,1,0,200.84255993695703,Intel Core i7,256,0
671,Lenovo,Notebook,8,AMD,Windows,1.9,43580.376,0,0,141.21199808219862,Intel Core i5,128,1000
672,Lenovo,2 in 1 Convertible,8,Intel,Windows,1.3,55091.52,1,1,165.6321180513006,Intel Core i5,256,0
673,Lenovo,Notebook,4,AMD,Windows,2.2,18594.72,0,0,100.45466986113651,AMD processor,128,0
674,HP,2 in 1 Convertible,4,Nvidia,Windows,1.63,37242.72,1,1,157.3505121487356,Intel Core i3,128,0
675,MSI,Gaming,16,Nvidia,Windows,2.4,68944.31999999999,0,0,141.21199808219862,Intel Core i7,256,1000
676,Asus,Ultrabook,8,Intel,Windows,1.1,60472.8,0,0,157.3505121487356,Intel Core i5,256,0
677,HP,2 in 1 Convertible,8,Intel,Chrome,1.4,26373.6,1,0,135.0942111925629,Intel Processor,0,0
678,LG,Ultrabook,8,Intel,Windows,1.09,122490.72,0,1,141.21199808219862,Intel Core i7,512,0
679,Acer,Gaming,16,Nvidia,Windows,2.5,69210.72,0,0,141.21199808219862,Intel Core i5,256,0
680,MSI,Gaming,8,Nvidia,Windows,2.2,53168.112,0,0,141.21199808219862,Intel Core i5,256,0
681,Asus,Notebook,4,Intel,Windows,1.86,22324.32,0,0,100.45466986113651,Intel Processor,128,0
682,Dell,Gaming,16,Nvidia,Windows,3.21,109277.28,0,0,141.21199808219862,Intel Core i5,128,1000
683,HP,Notebook,4,AMD,Windows,2.5,37242.72,0,1,127.33567457123111,Intel Core i3,256,0
684,Lenovo,2 in 1 Convertible,8,Intel,Windows,1.19,79866.72,1,1,165.6321180513006,Intel Core i7,512,0
685,Dell,Gaming,16,Nvidia,Windows,3.49,149916.6,0,0,141.21199808219862,Intel Core i7,256,1000
686,HP,Notebook,4,AMD,Windows,1.86,32639.8608,0,0,100.45466986113651,Intel Core i5,0,500
687,Dell,Notebook,4,AMD,Windows,2.2,29073.297599999994,0,0,100.45466986113651,Intel Core i3,0,1000
688,HP,Notebook,6,AMD,Windows,2.65,30316.32,0,1,127.33567457123111,AMD processor,0,2000
689,Lenovo,Notebook,4,Intel,Windows,2.1,16943.04,0,0,100.45466986113651,Intel Processor,0,500
690,Acer,Notebook,4,Intel,Chrome,1.45,19980.0,0,0,111.93520355955211,Intel Processor,0,0
691,Lenovo,Notebook,4,Intel,Windows,1.7,37242.72,0,0,157.3505121487356,Intel Core i5,256,0
692,HP,Workstation,8,Nvidia,Windows,3.14,101657.7072,0,0,127.33567457123111,Intel Core i7,0,500
693,Lenovo,2 in 1 Convertible,8,Intel,Windows,1.42,137995.19999999998,1,0,209.8006828649808,Intel Core i7,256,0
694,Toshiba,Notebook,8,Intel,Windows,1.5,51841.44,0,1,165.6321180513006,Intel Core i5,256,0
695,Acer,Netbook,4,Intel,Windows,1.4,14332.32,0,0,135.0942111925629,Intel Processor,0,0
696,Lenovo,2 in 1 Convertible,16,Intel,Windows,1.38,93186.72,1,0,157.3505121487356,Intel Core i7,512,0
697,Asus,2 in 1 Convertible,4,Intel,Chrome,1.2,35644.32,1,0,176.23257360658386,Intel Processor,0,0
698,Toshiba,Ultrabook,16,Intel,Windows,1.36,100006.56,1,0,165.6321180513006,Intel Core i7,512,0
699,HP,Notebook,4,AMD,Windows,2.1,36709.92,0,1,141.21199808219862,Intel Core i7,0,500
700,Dell,Gaming,8,Nvidia,Windows,2.56,43636.32,0,0,141.21199808219862,Intel Core i5,0,1000
701,Lenovo,Notebook,4,AMD,Windows,2.2,21258.72,0,0,141.21199808219862,AMD processor,256,0
